"station","Municipio","Mes","precip","temp","umid","pa","vento","radiacao","n_srag","n_interna"
"RECIFE","RECIFE","Jan",0.144623655913978,26.753561827957,74.9952956989247,1012.69805107527,1.67889784946237,1842.75845410628,59,337
"RECIFE","RECIFE","Feb",0.17797619047619,27.1207589285714,78.3549107142857,1011.17380952381,1.30907738095238,1803.21703296703,75,454
"RECIFE","RECIFE","Mar",0.263440860215054,27.1534274193548,78.7063172043011,1011.35524193548,1.26599462365591,1770.62686567164,106,701
"RECIFE","RECIFE","Apr",0.332777777777778,26.5086230876217,81.5883171070932,1011.30917941586,1.03318250377074,1872.38736263736,46,507
"RECIFE","RECIFE","May",0.291397849462366,26.042002688172,82.0255376344086,1011.90766129032,1.08976744186047,1345.44556962025,61,416
"RECIFE","RECIFE","Jun",0.547910863509749,24.8260445682451,81.8091922005571,1014.62270194986,1.34416,1236.26030927835,36,313
"RECIFE","RECIFE","Jul",0.586810228802153,23.9531628532974,84.3230148048452,1014.84084791386,1.21628532974428,1196.06,58,242
"RECIFE","RECIFE","Aug",0.248721399730821,24.0159488559892,80.6366083445491,1016.62718707941,1.50014084507042,1228.10891089109,69,240
"RECIFE","RECIFE","Sep",0.157777777777778,25.0188456189152,77.038247566064,1014.85702364395,NA,1374.96923076923,56,233
"RECIFE","RECIFE","Oct",0.082258064516129,25.8192204301075,73.8387096774194,1012.97681451613,NA,1463.2599009901,62,290
"RECIFE","RECIFE","Nov",0.00583333333333333,27.0934722222222,68.5013888888889,1011.21798611111,NA,1579.555,77,99
"RECIFE","RECIFE","Dec",0.0118438761776581,27.4606998654105,68.7483176312248,1011.31567967699,NA,1693.51364764268,49,147
"SALVADOR","SALVADOR","Jan",0.0790322580645161,27.4774865591398,71.7426075268817,1008.99758064516,1.2994623655914,1922.79012345679,4,170
"SALVADOR","SALVADOR","Feb",0.00178571428571429,28.527306547619,71.421875,1006.61316964286,1.43467261904762,1811.46703296703,2,113
"SALVADOR","SALVADOR","Mar",0.404569892473118,27.821438172043,76.1001344086021,1007.06572580645,1.29798387096774,1478.38613861386,15,186
"SALVADOR","SALVADOR","Apr",0.255277777777778,27.2198611111111,79.6555555555556,1007.15770833333,1.06583333333333,1324.93076923077,34,322
"SALVADOR","SALVADOR","May",0.316935483870968,26.3815860215054,82.1337365591398,1008.05168010753,1.14274193548387,1128.18965517241,62,481
"SALVADOR","SALVADOR","Jun",0.272222222222222,25.1476388888889,78.8868055555556,1011.784375,1.50666666666667,1019.38520408163,48,436
"SALVADOR","SALVADOR","Jul",0.396774193548387,24.2935483870968,78.3494623655914,1011.98306451613,1.68965053763441,1072.1075,24,284
"SALVADOR","SALVADOR","Aug",0.158064516129032,24.1938844086022,77.3487903225806,1013.81700268817,1.40994623655914,1325.93017456359,27,272
"SALVADOR","SALVADOR","Sep",0.182402234636871,24.6323776223776,78.6657342657343,1011.28818181818,1.34936886395512,1387.5310880829,20,187
"SALVADOR","SALVADOR","Oct",0.118548387096774,25.695564516129,75.9139784946236,1009.00712365591,1.39704301075269,1648.54679802956,32,173
"SALVADOR","SALVADOR","Nov",0.285,26.5414583333333,74.9298611111111,1006.71736111111,1.46847222222222,1636.87022900763,13,59
"SALVADOR","SALVADOR","Dec",0.0564516129032258,27.1848790322581,73.4616935483871,1006.91969086022,1.42379032258065,1895.34491315136,11,74
